Datum,Titel,Ereignis,Personen,Literatur,Archiv,Signatur/Inventarnr.,Folierung,Quelle
[J] 1657-08-28,Konzept Schreiben des Bremer Rats an den Rat der Stadt Hamburg bezüglich der Modalitäten für zollfreie Steinlieferungen ,"Dem Bremer Rat ist bekannt geworden, dass die zollfrei nach Hamburg für dortige öffentliche Gebäude gedachte Sandsteine nun auch privat gehandelt werden. Unter diesen Umständen erwartet der Bremer Rat, dass die Hamburger ""gleich denen Erb. w. Amstelerdam jdes mal bey der abfuhr mehrgedachten Steine eine bestendige specification wie viele Voder und Fueße, auch welchen behueff, unter dero Statt zusiegel ausfolgen zu laßen begehrend sein mügten."" Dazu soll die Liste mit den Bedarfen für die Hamburger Stadt- und Kirchenbauten mit den Pässen für die Zollfreiheit abgeglichen werden. Die Bremer möchten so einen Privathandel außerhalb Bremens unterbinden. 
Verknüpfungswunsch: ID #668; ID #1296; ID #744",ID #753; ID #918; Rat der Stadt Hamburg,,StAB,2-R.8.a,unfoliert,
[J] 1657-09-09,Schreiben der Stadt Hamburg an Rat von Bremen mit Gesuch um Durchfuhr von Steinen für Kirchen- und Stadtbauwerken,"Die Hamburger Regierenden nehmen die Forderung des Bremer Rates nach einer Spezifizierung der zollfreien Lieferungen, wie im Schreiben vom [J] 1657-08-28 gefordert, an.
Verknüpfungswunsch: ID #668; ID #1296",ID #753; Rat der Stadt Hamburg,,StAB,2-R.8.a,unfoliert,
[J] 1663-05-11,Schreiben des Bremer Rats an den Rat zu Hamburg mit Bitte den städtischen Bedarf für 111 Fuder Sandstein zu bestätigen,"Um Unterschlagung des Zolls zu verhindern, bittet der Bremer Rat den Rat zu Hamburg  um die Bestätigung, dass 111 Fuder Bückeburger Stein für öffentliche Bauaufgaben genutzt werden sollen. Nur mit einer solchen Bestätigung ist eine Befreiung von Zoll und Akziese möglich.
Verknüpfungswunsch: ID #668; ID #1296; ID #11756",ID #753; Rat der Stadt Hamburg,,StAB,2-R.8.a,unfoliert,
[J] 1664-04-30,Schreiben des Hamburger Rats an den Rat zu Bremen bezüglich zollfreier Vorbeifuhr von Bückeburger Blockstein,"Bestätigung an den Bremer Rat, dass 111 Fuder Bückeburger Stein tatsächlich für die städtischen Gebäude Hamburgs gedacht sind. Der Lieferant Johann Rohtkopp musste bereits für 108 Fuder Zoll bezahlen. Der Hamburger Rat erhofft eine Rückerstattung, nach dem die Verwendung für öffentliche Gebäude bestätigt wurde. 
Verknüpfungswunsch: ID #668; ID #1296; ID #11756","ID #753; Hamburger Rat, Johann Rohtkopp (Vertragspartner Hamburger Rat)",,StAB,2-R.8.a,unfoliert,
[J] 1668-03-30,Eingabe Bermer Steinhändler an den Rat der Stadt Bremen mit Beschwerde über Monopolisierung des Braunsteinhandels durch die Holländer,"Die Kaufleute beschweren sich bei Rat darüber, dass der (Braun-)Steinhandel nicht frei sei. Die Holländer kontrollieren auch die Schiffer, welche bestraft werden, falls sie Stein nach Bremen liefern. Johan Rothkopff spielt in diesem Handel ebenfalls eine Rolle, da er seit die Verpachtung an die Holländer stattgefunden hat, allein für den Verkauf von Braunstein in Bremen zuständig ist.
Verknüpfungswunsch: ID #668; Braunsteinhandel/Sollinghandel","ID #753; [?] Baltzens (Kaufmann in Bremen), Adelberch von Berchem (Kaufmann in Bremen), Hinrich Koch (Kaufmann in bremen), Schweder Schomacher (Kaufmann in Bremen), Otto Coper (Kaufmann in Bremen), Hinrich Wor Keß [?] (Kaufmann in Bremen), Jacob Belandt[?] (Bremer Kaufmann), Dirich [?] (Bremer Kaufmann), Johann von Raeßfeldt (Bremer Kaufmann), Fracois Dreyer (Bremer Kaufmann), Albert Schomaker (Bremer Kaufmann), Cordt Wilckens (Bremer Kaufmann), Jacob von Berchem (Bremer Kaufmann), Henrich Schroder (Bremer Kaufmann), Johann Speekester[?] (Bremer Kaufmann), Friedrich von Berchem (Bremer Kaufmann), Jürgen Segellen (Bremer Kaufmann), Johan Protte (Bremer Kaufmann), Henrich Meffers (Bremer Kaufmann), Henrich Sanderß (Bremer Kaufmann), Lüder Rotern[?] (Bremer Kaufmann), Hinrich Manuely (Bremer Kaufmann), Joest Bercherß (Bremer Kaufmann), Wilhelm dylmen (Bremer Kaufmann), Remmert Klußmann (Bremer Kaufmann), Johan Rothkopff (Bremer (Braun)Steinhändler)",,StAB,2-R.8.a,unfoliert,
[J] 1672-09-28,Schreiben des Bremer Rats an den Rat von Gronningen und den Staaten der Provinz Groningen wegen akziesfreier Ausfuhr von 100 Fuder Graustein,"Der Bremer Rat bestätigt, trotz des hohen Eigenbedarfs an Stein für die Festungsanlagen,  in seinem Schreiben an den Rat der Stadt Groningen und den Herren der Provinz Groningen 100 Fuder Blockstein zollfrei passieren zu lassen.  Diese waren zuvor von Popco Arends [T/J/F?]ockema in Bremen eingekauft worden und für die Errichtung von Schleusen gedacht. 
Verknüpfungswunsch: ID #668; ID #757; ID #13","ID #753; , Rat der Stadt Groningen, Herr der Provinz Groningen, Popco Arends [T/J/F?]ockema (Steinhändler)",,StAB,2-W.9.d.1 Bd. 6,unfoliert,
[J] 1673-04-22,Auflistung der Steinfuhren für die Provinz Groningen durch den Steinhändler Hector von Berchem,"Der Steinhändler Hector von Berchem listet für die Zollbefreiung die nach Groningen gegangenen Steinfuhren aus dem Jahr 1672 auf. ""28. Septem: 15 foder, 12 Octob. 15 foder, 18 dito 29 foder, 4 Novem 14 foder, [?] dito 5 foder, 78 foder Steine"" Steine waren für Schleusenbau gedacht. Weitere 140 Fuder wurden bei von Berchem bestellt.
Verknüpfungswunsch: ID #668; ID #757; ID #13","ID #753; Provinz von Gronningen, Hector von Berchem (Steinhändler Bremen)",,StAB,2-W.9.d.1 Bd. 6,unfoliert,
[J] 1673-04-29,Schreiben des Steinhändlers Hector von Berchem an den Bremer Bürgermeister Alers mit Bitte um freie Steinlieferung nach Groningen,"von Berchem bittet den Bürgermeister Alers, sich beim Bremer Rat für eine zollfreie Durchfuhr von 21 Fuder Sandstein  nach Groningen einzusetzten. Die Steine sind bereits abgeladen und die Schiffer warten nur noch auf eine Entscheidung des Rates.
Verknüpfungswunsch: ID #668; ID #757; ID #13","ID #753; Hector von Berchem (Steinhändler Bremen), Bürgermeister Alers (Bremen), Herren Staten von Gronningen",,StAB,2-W.9.d.1 Bd. 6,unfoliert,
[G] 1703-03-05,Beschluss des Bremer Rates über Gebührenordnung für Grausteinverladung im Hafen von Vegesack,"Das Hafen- und Tonnengeld der Kranführer für ""die Abschiffung der Grausteine."" Die Gebührenberechnung erfolgt nach den Akziesezetteln der Schiffer, welche diese an den Hafenmeister übergeben müssen. Die Krangebühr beträgt für einen Mühlstein 36gl, für ein Plattstück 24gl, Plattstück pro Fuder 10gl. Das Verladen und Überladen von Stein auf der Weser oder am dem Hafen gegenüberliegenden Weserufer ist bei Strafe untersagt.
Verknüpfungswunsch: ID #668; ID #761",ID #753,,HKHB,C 21a II Vegesack 1617-1825,"50r, 71r-72r",
[G] 1704-09-12,Schreiben der Abgeordneten der Stadt Groningen an den Rat der Stadt Bremen bezüglich zollfreier Steindurchfuhr,"Zur Ausbesserung mehrer Siele hat die Stadt Groningen bei Hector von Berchem 3000 Kubikfuß ""Bremer Hardsteen"" bestellt. Die Abgeordneten bitten nun um Zollfreiheit und berufen sich dabei auf die Gewährung der selben für den Stein für Schleusenbauten 1673.
Verknüpfungswunsch: ID #668; ID #757; ID #13;","ID #753; Rat der Stadt Groningen, Hector von Berchem (Steinhändler Bremen)",,StAB,2-R.8.a,unfoliert,
[G] 1704-06-14,Konzept Schreiben des Bremer Rats an Rat der Stadt Groningen bezüglich freier Durchfuhr von 3000 Kubikfuß Stein,"Der Bremer Rat wendet sich an die ""Budsgenose"" in Antwort auf deren Anfrage den ""sogenannte Adduweder Syl in graustein auffüln zu laßen."" Der Rat stimmt einer akziesfreien Durchfuhr der bei Hector von Berchem gekauften 3000 Kubikfuß zu.
Verknüpfungswunsch: ID #668; ID #757; ID #13","ID #753; Rat der Stadt Groningen, Hector von Berchem (Steinhändler Bremen)",,StAB,2-R.8.a,unfoliert,
1712,Karte der Grenzesituation zwischen hess. Schaumburg und Schaumburg-Lippe am Bückeberg durch Herman Rudolphi,"Karte zeigt Grenzüberschreitung der Steinbrüche am Bückeberg mit Bezeichnung der Kuhlenpächter in den jeweiligen Gruben. Von links nach rechts: ""Cristoff Kuhlman, Johan minderman, Eyckman, Sasen, Johan minderman, Luhman, hector Unnan, von weder, von weder, wilhelm quern, Henrich Bretmöller, Johan Rösemeyer, Baltzer minderman, fridrich minderman, Johan minderman, Wilhelm quern, Hector Unnan, Johan rösemeyer, von weder, gorge Stelling""
Verknüpfungswunsch: ID #31; ID #30; ID #11756","Cristoff Kuhlman (Steinkuhlenpächter Obernkirchen), Johan Minderman (Steinkuhlenpächter Obernkirchen), Eyckman (Steinkuhlenpächter Obernkirchen), von weder (?), Sasen (Steinkuhlenpächter Obernkirchen), Luhman (Steinkuhlenpächter Obernkirchen), Hektor Unnan (Steinkuhlenpächter Obernkirchen), Wilhelm Quern (Steinkuhlenpächter Obernkirchen), Henrich Bretmöller (Steinkuhlenpächter Obernkirchen), Johan Rösemeyer (Steinkuhlenpächter Obernkirchen), Balther Minderman (Steinkuhlenpächter Obernkirchen), Friedrich Minderman (Steinkuhlenpächter Obernkirchen), Gorge Stelling (Steinkuhlenpächter Obernkirchen)",,NLA BÜ,S 1 B 11949,,
[G] 1725-03-24,"Schreiben des Festungsverwalters J. Hoyer aus Harburg an den Steinhändler Fopma in Bremen bezüglich Steinlieferungen für den Festungsbau in Harburg, Anlage zu 173110XX","Der Festungsverwalter Hoya wendet sich an den Steinhändler Fopma, um bei ihm Erkundigungen über lieferbare Quadersteine einzuziehen, da der bisherige Lieferant Johann Bielefeld nicht mehr zu dem vereinbarten Preis liefern möchte. Es werde weiter hin eine große Menge Stein benötigt und Freipässe für die Durchfuhr seien vorhanden. Hoyer möchte wissen, ob Fopma Stein zum Preis von 19 1/2 gl pro Cubicfuß verkauft und vorrätig hat.
Verknüpfungswunsch: ID #668; Harburg","ID #12031; J. Hoya (Festungsverwalter Harburg), Johann Bielefeld (Steinhauermeister und Steinhändler Bremen)",,StAB,2-S.2.v.10.a,unfoliert,
nach [G] 1713-07-19,Breicht über die Verhandlungen der Steinhändlerin Witwe Fopma mit dem Steinhaueramt Bremen,"Protokoll über die Besprechung der von der Witwe des Steinhändlers Joach. Fopmas eingegebene Supplik vom [G] 1713-07-19. Die Witwe beschwert sich über die fehlende Unterstützung ihres Handels durch die Steinhauerzunft. Sie ist zur Zeit der Eingabe im Handel weniger erfolgreich als der Steinmeßer von Bremen und der Bodenmeister Dier: Geerken, hat aber bisher ein Privileg für den freien Handel mit rohem und bearbeiteten Stein gehabt, wobei die Bearbeitung durch das Bremer Steinhaueramt ausgeführt werde. Sie möchte gegen das Vorhaben der Steinhauergilde, ""dehnen Meistern NB Allein vorbehalten würde ihre Steine an gesellen und fuschern zu verkauffen so brächteten sie /: dem Commercio vonrhemlich, auch der Wittwen zum schaden :/ ein Monopolium daraus..."" Sie betont, dass sie kein Verkaufsverbot an Bremer Bürger vom Senat erhalten habe. Kein Geselle kann aber zur Arbeit bei ihr gezwungen werden. Ihr sollte aber frei bleiben Gesellen zur Steinbearbeitung anzuwerben, auch da sonst von ihr nur unbehauener Stein ins Ausland verkauft, und damit der Bremer Steinhauerzunft ein großer Verlust entstehen könnte. Die Witwe wirft den Steinhauern vor, sich gegen sie verbündet zu haben, und ihren Handel durch die Weigerung den bei ihr gekauften Stein für die Bremer Käufer zu bearbeiten zu großen Schwierigkeiten für die betreffenden Bürger geführt habe. Die Zunft weigert sich auch, Gesellen oder Meister zu erlauben für die Witwe zu arbeit. Sogar der Freimeister Johan Mehnt wurde in die Pläne der Steinhauerzunft mit einbezogen. Der Preis für die Arbeiten werde ebenfalls festgeschrieben, so dass kein Bürger mehr selbst mit seinem Steinhauermeister verhandeln könne.
ID #668","ID #5702; ID #12031; Witwe Joach. Fopma (Steinhändlerin Bremen), Steinmeßer zu Bremen, Dier: Geerken (Bodenmeister Bremen), Christian Lucas (Bürger in Bremen, Steinkäufer), Kylian Krep (Bürger Bremen, Steinkäufer), Matthias Bödeker (Steinhauermeister Bremen), Johan Mehntz (Freier Steinhauermeister Bremen), Sohn des Johan Mehntz",,StAB,2-S.2.v.6.b,unfoliert,
1731,Korrespondenz zwischen Gebrüdern Fopma aus Bremen und hess. Behörden bezüglich Monopolisierung des Steinhandels von Obernkirchen,"Gebrüder Fopma aus Bremen wollen ein Monopol über den Sandsteinhandel nach Bremen erreichen. Die jährliche Abnahme soll 1000 Schifffuhr Stein betragen. Der Antrag der Gebrüder wurde allerdings abgelehnt.
Verknüpfungswunsch: ID #668; ID #30",ID #12031,,HStAM,5 Hessicher Geheimer Rat Nr. 6113,1r-v,
[G] 1731-05-31,Auflistung der Mitglieder der Bremer Steinhauerzunft nach ihrer Berufserfahrung,"Es werden 16 Meister aufgezählt, deren Berufserfahrung seit der Lehre zwischen 8 und 39 Jahren beträgt. Hinzu kommt die Aufzählung von 20 Gesellen mit einer Berufserfahrung von 1 bis 21 Jahre seit der Lehre. Dabei werden die Jahre an Berufserfahrung bei 9 Meistern nach unten korrigiert, da sie ihre Lehre nicht in Bremen absolviert haben.
Verknüpfungswunsch: ID #668","ID #5702; ID #519; Johan Bielefeld  (Steinhauermeister Bremen, Ende der Lehre 1692, 39 Jahre Berufserfahrung), Diedrich Gercken (Steinhauermeister Bremen, Ende der Lehre 1696, 35 Jahre Berufserfahrung), Matthias Bödeker (Steinhauermeister Bremen, Ende der Lehre 1706, Berufserfahrung 25 Jahre), ID # 465 oder ID #464: Steinhauermeister Bollman (Bremen, Ende der Lehre 1707, Berufserfahrung 24 Jahre), Christ. Wieting (Steinhauermeister Bremen, Ende der Lehre 1710, Berufserfahrung 21 Jahre), Franß Hesehaus (Steinhauermeister Bremen, Ende der Lehre 1711, Berufserfahrung  20 Jahre), Hr. Schröder (Steinhauermeister Bremen, Ende der Lehre 1719, Berufserfahrung 12 Jahre), Dr. Gercken (Steinhauermeister Bremen, Ende der Lehre 1720, Berufserfahrung 11 Jahre), Jacob Meyer (Steinhauergeselle Bremen, Ende der Lehre 1710, Berufserfahrung 21 Jahre), Jh Wediking (Steinhauergeselle Bremen, Ende der Lehre 1716, Berufserfahrung 15 Jahre), Steinhauergessele Hypohl (Bremen, Ende der Lehre 1716, Berufserfahrung 15 Jahre), Steinhauergeselle Stieman (Bremen, Ende der Lehre 1720, Berufserfahrung 11 Jahre), Tönies Meyerholtz (Steinhauergeselle Bremen, Ende der Lehre 1723, Berufserfahrung 8 Jahre), Johann Deucker (Steinhauergessele Bremen, Ende der Lehre 1724, Berurfserfahrung 7 Jahre), Henrich Schröder (Steinhauergeselle Bremen, Ende der Lehre 1725, Berufserfahrung 6 Jahre), Steinhauergeselle Loff (Bremen, Ende der Lehre 1727, Berufserfahrung 4 Jahre), Simon Meyerholt (Steinhauergeselle Bremen, Ende der Lehre 1725, Berufserfahrung 6 Jahre), Johann Mohrmeyer (Steinhauergeselle Bremen, Ende der Lehre 1726, Berufserfahrung 5 Jahre), Johan Frese (Steinhauergeselle Bremen, Ende der Lehre 1727, Berufserfahrung 4 Jahre), Friedrich Dohm (Steinhauergeselle Bremen, Ende der Lehre 1725, Berufserfahrung 6 Jahre), Steinhauergeselle Martens (Bremen, Ende der Lehre 1727, Berufserfahrung 4 jahre), Steinhauergeselle Menntz (Bremen, Ende der Lehre 1728, Berufserfahrung 3 Jahre), Steinhauergeselle Dahling (Bremen, Ende der Lehre 1728, Berufserfahrung 3 Jahre), Steinhauergeselle Blummelsteh (Bremen, Ende der Lehre 1730, Berufserfahrung 1 Jahr), Steinhauergeselle Sulpe (Bremen, Ende der Lehre 1730, Berufserfahrung 1 Jahr), Andres Gercken (Steinhauergeselle Bremen, Ende der Lehre 1730, Berufserfahrung 1 Jahr)",,StAB,2-S.2.v.6.b,unfoliert,
[G] 1731-09-10,Konzept Schreiben an die Kanzlei zu Rinteln bezüglich der Anfrage Bremer Steinhändler ein Monopol auf den Handel mit Obernkirchener Sandstein zu erhalten,"Kaufleute aus haben sich an den/die Verfasser des Schreibens gerichtet. Sie wünschen ein Monopol, ""an ihnen dis benants quantität dero 4 sorten astrack, Streckstück, blocksteins und Platsück genant, von denen Steinhauermeistern alleine und ansonsten niemanden nacher Brehmen geliefert und Ihnen deswegen ein Privilegium [?] 10 bis 12 Jahre ertheilet werden wolte."" Verfasser möchte, dass Kanzlei in Rinteln Erkundigungen in Obernkirchen etc. einholt, ob ein solches Monopol Vorteile für die Untertanen und Steinhauer hess. Schaumburg haben könnte, die bisher auch Handel mit anderen Bremer Kaufleuten treiben würden. Es wird eine Befragung der Steinhauer ebenso erwartet wie ein Bericht und eine Einschätzung der Sachlage durch die Kanzlei.
Verknüpfungswunsch: ID #30; ID #668; ID #745; ID #748; ID #11756","Bremer Steinhändler, hess.-schaumburgische Kanzlei zu Rinteln",,HStAM,5 Hessicher Geheimer Rat Nr. 6113,2r-v,
1731-09-25,Schreiben der Sämtlichen Steinhauer von Obernkirchen an die Kanzlei in Rinteln mit Aussage zu Monopolwunsch der Gebrüder Fopma aus Bremen,"Äußerung der Steinhauer aus Obernkirchen zu dem Wunsch der Fopma-Brüder ein Monopol auf den Sandsteinhandel in Bremen zu errichten. Dessen negativen Auswirkungen auf die Steinhauer werden in 18 Punkten beschrieben.  Beginnend mit dem Konkurrenzverhältnis zwischen Bentheimer und Obernkirchener Sandstein (""In betracht desen kann auch und da die Holländer hiesigen Stein nicht entbehren können, dieser Steinbruch vor dem Bentheimschen von Vorhin die praferentz behalten muß und wird. Weshalben dann auch (2) der hiesige Steinhandels in einem dermahligen [...] florissanten Stande ist, als er bey menschen gedenken nicht gewesen...""), wird auf die Nachteile, welche durch ein Monopol und eine damit zusammenhängende Preissteigerung ausgelöst werden würden. Der Export würde einbrechen, was auch Auwirkungen auf die Schiffer und die Lagerkapazitäten der Obernkirchener Steinhauer hätte. ""...schlechten Abgang finden würden, worunter dann (6) alle Bremer, Hamburger und Holländischen Steinhauer und Handelsleuthe so wohl als auch (7) die Schiffer, wann Supplicanten, jederzeith Vermudthlich auff wohlfeile frachten warteten und wir (8.) selbst leiden müsten, indem alsdenn unser Stein auff dem ohnedem kleinen Platze zu Kohlenstet überhäufft und wir (9.) gezwungen würden, dieselben zu Unsern größten Schaden im Steinbruche liegen zu lassen."" Darüber hinaus würde die Arbeit auf Vorschuss, wie es bisher oft getan wird, nicht mehr möglich sein. Im Moment würden einzelne Steinhauer noch von einzelnen Steinhändlern im Voraus bezahlt, ohne dass ein fester Verwendungszweck des Geldes festgelegt werde. Zwar sei es wahr, dass die Fopmas momentan den mit ihnen kooperierenden Steinhauern einen besseren Preis machten, als andere Bremer Steinhaändler, aber es sei falsch, dass die übrigens Steinhauer nicht genügend Vorschuss erhielten. Falls es zu einem  Monopol käme, wären die Steinhauer nicht mehr in der Lage, ihren Kreditgeber und Steinabnehmer zu wechseln, sondern den Anforderungen der Fopmas ausgeliefert. Die jetzigen individuellen Partner ""sich nicht höher als zu einer jährlichen Abnhame von 1000 Schiffudern oblegiren wollen."" Generell könnte mehr abgesetzt werden (""14 bis 1500""), wenn die Wege zwischen Steinbruch und Kohlenstädt besser in Schuss wären. Hier erfolgt der Hinweis, dass dies auch nachteilig für die Bergwareinnahmen des Landesherrn sei. Generell sei ein Monopol der Ruin für die Obernkirchener Steinhauer, ""zumahle wann (18) hiesige an frembde Ohrte reisende gesellen unserer profession von unsern handelsleuthen nicht mehr wie Vorhin auff- und in Arbeith genomen sondern zurück und wieder anhero Verwiesen würden."" Das Schreiben schließt mit der Bitte, den Monopolwunsch der Bremer Steinhändler Fopma abzulehnen.
Verknüpfungswunsch: ID #668; ID #745; ID #748; ID 12032; ID #11756",ID #12031; ID #5703; hess.-schaumburg. Kanzlei zu Rinteln,,HStAM,5 Hessicher Geheimer Rat Nr. 6113,4r-7v,
1731-09-25,Schreiben des Obernkirchener Steinhauers Jürgen Schwartz an den Bremer Kaufmann Diederick Berkemeyer bezüglich der Verhandlungen für ein Steinhandelsmonopol für die Gebrüder Fopma,"Der Steinhauermeister Schwartze wendet sich an seinen Handelspartner in Bremen, um in über die Vorgänge in Obernkirchen aufzuklären. Die Gebrüder Fopma hätten alle Schiffer für ihre Steinfracht angeheuert und seien darüber hinaus nach Kassel zum Landesherrn gereist, um dort um ein Steinhandelsmonopol für 1000 Fuder Steine im Jahr über den Zeitraum von 12 Jahren anzuhalten. Sie wollten dafür einen Vorschuss an die Steinhauer zahlen, so wie diesen bei der Abbezahlung der Schulden an ihre bisherigen Vertragspartner unterstützen. Die herrschaftliche Kanzlei in Rinteln wurde von den Angeboten in Kenntnis gesetzt und das Steinhaueramt hat sich dort zu dem Angebot geäußert.""Hat auch versprochen, wan die 12 pacht Jahr vorbey wehren so wolte er den Steinhauer Ambte alhier 3000 rt. schencken..."" Von mehr hat der Verfasser leider keine Kenntnisse.
Verknüpfungswunsch: ID #745; ID #668; ID #12029; ID #11756; ID #748; ID #30","ID #12031; ID #1027; Jürgen Schwartz (Steinhauermeister Obernkirchen, Steinkuhelnpächter)",,StAB,2-S.2.v.10.a,18r,
1731-10-04,"Bericht der hessisch Schaumburger Kanzlei an den Landgrafen zu Hessen-Kassel, König von Schweden über Ansichten der Obernkirchener Steinhauer über Monopolgesuch der Gebrüder Fopma","Wie gewünscht schicken die Angehörigen der hessisch Schaumburger Kanzlei ihren Bericht an den Landesherren mit dem Hinweis, dass alle Steinhauermeister aus Obernkirchen am 1731-09-22 in die Kanzlei gekommen seien, um dort Stellung zu nehmen. Drei Meister waren abwesend, Mündermann auf Grund einer Reise, Moller und Sase wegen Krankheit. Sie stellten sich aber ebenso wie die Anwesenden gegen das Monopolgesuch der Händler Fopma und führen dazu 18 Punkte an. In Punkt 1 lehnen sie das Monopol ab, ""weil 1) sie von Ihr und Ihrer Väter zeiten imt den nen Kaufleuten zu Bremen in correspondentz, contract und handlung stünden, von welchen sie allemahl einen Vorschuß..."" erhielten. Darüber hinaus wollen die Fopmas 2) nur 1000 Schifffuder Stein abnehmen, obwohl im Moment um die 1500 Fuder abgesetzt werden können. Das Monopol spricht den Fopmas die besten Stücke zu, freier Handel sei nur noch mit minderwertigen Produkten möglich. Darüber hinaus floriere der Steinhandel mit Schaumburger Stein ebenso gut wie mit Bentheimer. Der Monopolhandel könne diese gut laufenden Geschäfte sogar bedrohen 3), da die Fopmas den Preis willkürlich steigern könnten, was 4) Bauherren abhalten könnte, Bückeberger Stein zu benutzen. Dadurch würde 5) der Handel verringert und sowohl 6) Bremer, Hamburger und holländische Steinhauer und Handelsleute sowie 7) Schiffer in Bedrängnis gebracht. Darüber hinaus seien die 8) Lagerkapazitäten in Kohlenstädt zu gering und der abgebaute Stein würde 9) die Arbeit in den Gruben behindern. Die Steinhauer sind 10) nicht in der Lage die von den bisherigen individuellen Handelspartnern vorgeschossenen Gelder schnell zurück zu zahlen, sodass 11) sie durch das Monopol der Fopmas in Rückzahlungsschwierigkeiten kämen, da sie an die früheren Vertragspartner keine Steine mehr liefern dürften.  Die Steinhauer haben auch Angst vor der zu großen Abhängigkeit von nur einer Steinhandelsfirma, die 15) willkürlich die Preise anheben könnte und zusätzlich die Steinabnahme künstlich gering halten wolle. Darüber hinaus wäre 17) auch die Bergwahr des Landesherrn geschmälert. Die Situation der Gesellen, die zur Zeit bei den Handelspartnern in Bremen einen Teil ihrer Wanderzeit verbringen, würde sich ebenfalls verschlechtern. Die Steinhauermeister sprechen sich also für eine Bewahrung des Status Quo aus, lehnen das Monopolgesuch der Gebrüder Fopma ab und hoffen, dass der Landesherr ihrem Urteil folgt.
Verknüpfungswunsch: ID #745; ID #748; ID #668; ID #30; ID #12029; ID #12032","ID #12031; König Friedrich von Schweden und Landgraf zu Hessen-Kassel; Steinhauermeister Mündermann; Steinhauermeister Moller; Steinhauermeister Sase; [?] Reinhard, hess. Schaumburger Kanzlei; J. H. Motz, hess. Schaumburger Kanzlei; ",,HStAM,5 Hessicher Geheimer Rat Nr. 6113,8r-14v,
um 1731 (undatiert),Vorschlag eines Monopols auf den Handel mit bestimmten Sandsteinsorten durch die Gebrüder Fopma aus Bremen,"In einem Schreiben an den König von Schweden und Landgraf zu Hessen-Kassel Friedrich versuchen die Gebrüder Fopma die Vorteile eines monopolisierten Handels mit Astrack, Streckstück, Blockstein und Plattstein aus den schaumburgischen Sandsteingruben darzustellen. Beginnend mit einem Hinweis auf die Unruhen in der Grafschaft Bentheim und den Einfluss holländischer Personen auf den Sandsteinhandel gehen die Verfasser auf die dortigen Lagerkapazitäten etc. ein. Der Schaumburger Steinhandel könnte viel stärker florieren, auch ""da doch diese Steine dem ander bonite und dauerhaftigkeit abertreffen."" Es müsste nur ein gesicherter Lagerplatz eingerichtet und eine festgelegte Abnahmemenge vereinbart werden, damit die Käufer in Bremen und anderswo unabhängig von Umweltbedingungen eine gesicherte Steinquelle besäßen. Es wird die Möglichkeit angesprochen, insbesondere für den Holland-Handel Lager aufrechtzuerhalten.  Die Niederländischen Steinhandelsgesellschaften in Bentheimer Stein würden so vorgehen, und damit zum Niedergang des Schaumburger Steinhandels beitragen. ""Uns dieweil auch ferner die schaumburgsche Steinbrecher, mit viel beschwerlicher arbeit offers besondere Stücke lohsbrechen und erschaffen müßen..."", da sie von konkreten Abnehmern abhängig seien. Darüber hinaus seien einzelne Steinhauermeister an einzelnen Bremer Steinhändlern als Abnehmer und Kreditgeber gebunden. Dieser zerteilte Handel soll durch das Monopol abgeschafft werden. Unter das Monopol sollen Astrack, Streckstücke, Blockstein und Plattstücke fallen und sollen ""nur allein an der beyden Begrüdern Hector und Jacob Fopma allda /:welch zusambt ihren Eltern von Jugend auf die Negotie mit Grauwsteinen excerciret und getrieben haben:\ ablieffern und verkauffen..."" Es werden 5 Punkte genannt, die die Bedingungen des Monopols näher erläutern. 1. erläutert, dass im vorherigen Jahr nur 600 - 700 Schifffuder Stein nach Bremen gebracht worden seien, die Fopmas wollen jährlich 1000 Schifffuder abnehmen. 2. wollen sie in Holland und anderswo Lager mit unterschiedlichen Steinsorten anlegen, so dass eine gesicherte Abnahme bestehe. 3. ""Geloben sie die herrschaftlichen Unterthanen die Steine zu den preysen wie sie in seit langen und bisherigen Jahren ihnen bezahlet sind, ohne die geringste verringerung..."" und den Steinhauern auch weiterhin einen Vorschuss zu geben, der 4. ohne Zins abgezahlt werden kann, es soll lediglich ¼ Reichstaler pro gelieferten Fuder abgezogen werden. Darüber hinaus steht den Steinhauern 5. der Handel mit ""lechsteine, Kümpfe, Brunnenringe, Tröge, Schorff-, Schleff, und Wetzesteine frei. Steine der vier Sorten können für die herrschaftlichen Bauten ebenfalls von den Schaumburgern verkauft werden. ""Dieweil aber so woll in ansehung des von den Gebrüdern Fopma zu verfügenden Vorschußes als zu formirenden Lagers der Steine, ihnen aüßerst daran gelegen, daß die berschriebene 4 Gattungen Steine ausser an ihnen in Bremen sonst an niemand möge abgeliefert, und hiemit weder directe noch indirecte von anderen einige Negotie getreiben werde."" Auch der Handel mit Stein aus anderen Gebieten unterhalb von Hoya in diesen Sorten soll untersagt werden. Die Fopmas erbitten das Pirvileg für 10 bis 12 Jahre.
Verknüpfungswunsch:  ID #668; ID #30; ID #745; ID #11756; ID #12029","ID #12031; ID #507; König Friedrich von Schweden und Landgraf zu Hessen-Kassel, Jacop Fopma (Steinhändler in Bremen)",,HStAM,5 Hessicher Geheimer Rat Nr. 6113,15r-16v,
