Datum,Titel,Kommentar,Personen,Literatur,Archiv,Signatur/Inventarnr,Folierung
[J] 1564-03-24,Bezahlung von Jan de Hase auch für Anthonis van Seron für die Lieferung von Bückeberger Stein,"Jan de Hase erhält für sich und Anthonis von Seron die Summe von ""achtentzestich carolus guldenen"" für die Lieferung von Bückeberger Stein für den Rathausneubau in Antwerpen.
Stil Brabant (Jahreswechsel an Ostern, deshalb im Original: 1563)
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Peter de Hase (Finanzverwalter Rathausbau Antwerpen), Jan de Hase (Steinhauer Antwerpen), Anthonis de Seron ((Stein-)Händler im Auftrag von Antwerpen)",,BE SA ,"PK#2197 (Katern 9, S. 46)",417r
[J] 1564-04-08,Bezahlung von Jan de Hase auch für  Anthonis van Seron für die Lieferung von Bückeberger Stein,"Jan de Hase werden für die durch ihn und Anthonis von Seron erfolgte Lieferung von Bückeberger Stein ""Vyftich carolus guldene"" durch Peter e Hase ausgezahlt.
Stil Brabant
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Peter de Hase (Finanzverwalter Rathausbau Antwerpen), Jan de Hase (Steinhauer Antwerpen), Anthonis de Seron ((Stein-)Händler im Auftrag von Antwerpen)",,BE SA ,"PK#2197 (Katern 9, S. 52)",422v-423r
[J] 1564-04-15 ,Bezahlung von Jan de Hase auch für Anthonis van Seron für die Lieferung von Bückeberger Stein,"Jan de Hase erhält die Summe von ""Een hondert carolus guldene"" für die Lieferung von Bückeberger Stein, die durch ihn und Anthonis von Seron ausgeführt wurde.
Stil Brabant
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Peter de Hase (Finanzverwalter Rathausbau Antwerpen), Jan de Hase (Steinhauer Antwerpen), Anthonis de Seron ((Stein-)Händler im Auftrag von Antwerpen)",,BE SA ,"PK#2197 (Katern 10, S. 5)",426v
[J] 1564-05-02,Bezahlung von Jan de Hase auch für Anthonis van Seron für Lieferung von Bückeberger Stein,"An Jan de Hase werden ""drie hondt carolus guldenen"" ausgezahlt. Er erhält diese für die Lieferung von Bückeberger Stein durch ihn selbst und Anthonis von Seron.
Stil Brabant
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Peter de Hase (Finanzverwalter Rathausbau Antwerpen), Jan de Hase (Steinhauer Antwerpen), Anthonis de Seron ((Stein-)Händler im Auftrag von Antwerpen)",,BE SA ,"PK#2197 (Katern 10, S. 6)",428r
[J] 1564-05-13,Bezahlung von Jan de Hase auch für Anthonis van Seron für Lieferung von Bückeberger Stein,"Jan de Hase bekommt eine Summe von ""hondert ende vyftich carolus guldenen"" für die Lieferung von Bückeberger Sandstein ausgezahlt, die er mit Anthonis von Seron durchgeführt hat.
Stil Brabant
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Peter de Hase (Finanzverwalter Rathausbau Antwerpen), Jan de Hase (Steinhauer Antwerpen), Anthonis de Seron ((Stein-)Händler im Auftrag von Antwerpen)",,BE SA ,"PK#2197 (Katern 10, S. 9)",429v
[J] 1564-05-20,Bezahlung von Cornelis de Vos für das Löschen von Bremer Stein durch Peter de Hase,"Cornelis de Vos´ Rechnung über das Löschen und Transportieren von Bremer Stein zwischen dem [J] 1564-04-07 - [J] 1564-05-02 auf.  Am [J] 1564-04-18, [J] 1564-04-19 und [J] 1564-04-20 wurden drei Schiffe entladen, die insgesamt ""LXVIII voeders"" Bremer Stein geladen hatten. Hinzu kommt die Entladung von mindestens sechs weiteren Schiffen. Die Fuhrwerke müssen zum Teil verstärkt und repariert werden. Sie werden mit Stroh ausgelegt. Der Transport der Steine führt zum Markt. Cornelis de Vos erhält von Peter de Hase eine Summe von ""hondt sessendertich carolus guld drie ende eenen halven stuvers"". 
Stil Brabant
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Cornelis de Vos, Peter de Hase (Finanzverwalter Rathausbau Antwerpen), Jan de Lantmetere, Jan de Hase (Steinhauer Antwerpen), Sander Sanders (Schiffer?), Schipper Jan van Aenslaen, Jan Halm (Schiffer?), Ludr Peetersen (Schiffer?), Dierck Suel (Schiffer), Harmen Lampe (Schiffer?), Hendricx Vatinck (Schiffer?),   ",,BE SA ,"PK#2197 (Katern 10, S. 11 – 13)",433r-434v
[J] 1564-05-20,Bezahlung von Jan de Hase auch für Anthonis van Seron für Lieferung von Bückeberger Stein,"Jan de Hase erhält von Peter de Hase für sich und Anthonis von Seron eine Summe von ""hondert carolus guldenen"" für die Lieferung von Bückeberger Stein.
Stil Brabant
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Peter de Hase (Finanzverwalter Rathausbau Antwerpen), Jan de Hase (Steinhauer Antwerpen), Anthonis de Seron ((Stein-)Händler im Auftrag von Antwerpen)",,BE SA ,"PK#2197 (Katern 10, S. 14)",436v
[J] 1564-06-03,Bezahlung von Jan de Hase auch für Anthonis van Seron für Lieferung von Bückeberger Stein,"Jan de Hase erhält von Peter de Hase eine Summe von ""Acht hondert carolus gulden"" für die Lieferung von Bückeberger Stein, für die er zusammen mit Anthonis von Seron zuständig war.
Stil Brabant
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Peter de Hase (Finanzverwalter Rathaus von Antwerpen), Jan de Hase (Steinhauer Antwerpen), Anthonis van Seron ((Stein-)Händler im Auftrag von Antwerpen)",,BE SA ,"PK#2197 (Katern 10, S. 18)",440v
[J] 1564 -06-10 ,Bezahlung von Jan de Hase auch für Anthonis van Seron für Lieferung von Bückeberger Stein,"Jan de Hase erhält zusammen mit Anthonis von Seron von Peter de Hase eine Summe von ""vyftich carolus gulden"" für die Lieferung von Bückeberger Stein ausgezahlt.
Stil Brabant
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Peter de Hase (Finanzverwalter Rathaus von Antwerpen), Jan de Hase (Steinhauer Antwerpen), Anthonis van Seron ((Stein-)Händler im Auftrag von Antwerpen)",,BE SA ,"PK#2197 (Katern 10, S. 19)",442r
[J] 1564-06-17 ,Bezahlung von Jan de Hase auch für Anthonis van Seron für Lieferung von Bückeberger Stein,"Jan de Hase werden von Peter de Hase ""een hondert carolus gulden"" ausgezahlt, die er für die Lieferung von Bückeberger Stein erhält. Diesen Auftrag hatte er gemeinsam mit Anthonis von Seron angenommen.
Stil Brabant
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Peter de Hase (Finanzverwalter Rathaus von Antwerpen), Jan de Hase (Steinhauer Antwerpen), Anthonis van Seron ((Stein-)Händler im Auftrag von Antwerpen)",,BE SA ,"PK#2197 (Katern 10, S. 20)",443r
[J] 1564-06-23 ,Bezahlung von Jan de Hase auch für Anthonis van Seron für Lieferung von Bückeberger Stein,"Jan de Hase bekommt von Peter de Hase ""hondert en vyftich carolus guldenen"" für die durch ihn selbst und Anthonis von Seron übernommene Lieferung von Bückeberger Stein ausgezahlt. 
Stil Brabant
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Peter de Hase (Finanzverwalter Rathaus von Antwerpen), Jan de Hase (Steinhauer Antwerpen), Anthonis van Seron ((Stein-)Händler im Auftrag von Antwerpen)",,BE SA ,"PK#2197 (Katern 10, S. 21)",443v-444r
[J] 1564-07-01 ,Bezahlung von Jan de Hase auch für Anthonis van Seron für Lieferung von Bückeberger Stein,"Jan de Hase erhält für sich und seinen Kompagnon Anthonis von Seron von Peter de Hase ""twee hondert carolus guldenen"" für die Lieferung von Bückeberger Stein. 
Stil Brabant
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Peter de Hase (Finanzverwalter Rathaus von Antwerpen), Jan de Hase (Steinhauer Antwerpen), Anthonis van Seron ((Stein-)Händler im Auftrag von Antwerpen)",,BE SA ,"PK#2197 (Katern 10, S. 23)",445v
[J] 1564-07-08 ,Bezahlung von Jan de Hase auch für Anthonis van Seron für Lieferung von Bückeberger Stein,"Jan de Hase erhält für sich und Anthonis von Seron von Peter de Hase ""een hon[?] carolus gulden"" für die Lieferung von Bückeberger Stein.
Stil Brabant
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Peter de Hase (Finanzverwalter Rathaus von Antwerpen), Jan de Hase (Steinhauer Antwerpen), Anthonis van Seron ((Stein-)Händler im Auftrag von Antwerpen)",,BE SA ,"PK#2197 (Katern 10, S. 27)",449v
[J] 1564-07-14 ,Bezahlung von Jan de Hase auch für Anthonis van Seron für Lieferung von Bückeberger Stein,"Jan de Hase werden für ihn selbst und Anthonis von Seron ""Een hondert carolus guld"" für die Lieferung von Bückeberger Stein ausgezahlt. Die Auszahlung erfolgt durch Peter de Hase
Stil Brabant
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Peter de Hase (Finanzverwalter Rathaus von Antwerpen), Jan de Hase (Steinhauer Antwerpen), Anthonis van Seron ((Stein-)Händler im Auftrag von Antwerpen)",,BE SA ,"PK#2197 (Katern 10, S. 28)",450v
[J] 1564-07-21,Bezahlung von Jan de Hase auch für Anthonis van Seron für Lieferung von Bückeberger Stein,"Für die Lieferung von Bückeberger Stein erhält Jan de Hase für sich und Anthonis von Seron von Peter de Hase ""Een hondert carolus guldenen"" augezahlt.
Stil Brabant
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Peter de Hase (Finanzverwalter Rathaus von Antwerpen), Jan de Hase (Steinhauer Antwerpen), Anthonis van Seron ((Stein-)Händler im Auftrag von Antwerpen)",,BE SA ,"PK#2197 (Katern 10, S. 30)",453r
[J] 1564-07-21 ,Spezifikation und Bezahlung von Cornelis de Vos für das Löschen von Bremer Stein,"Cornelis de Vos stellt eine Rechnung über das Löschen und Transportieren von Bremer Stein auf. Am [J] 1564-07-07 wurden 15 Fuder Stein gelöscht und zum Markt transportiert. De Vos erhält von Peter de Hase eine Summe von ""negen carolus gulden dri en eenen halven stuvers.""
Stil Brabant
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Cornelis de Vos, Peter de Hase (Finanzverwalter Rathausbau Antwerpen), Jan de Lantmetere",,BE SA ,"PK#2197 (Katern 10, S. 31-32)",454r-454v
[J] 1564-07-29 ,Auszahlung der Steinhauerlöhne durch Peter de Hase an Jan Janssen,"Auflistung des Arbeitszeitraumes zwischen dem 15640708 und dem 15640729. Bei einzelnen Steinhauern erfolgen Hinweise auf die Tätigkeit. Welcher Stein bearbeitet wird, bleibt unklar. Die Steinhauer werden namentlich genannt. Jan Janssen erhält eine Summe von ""vierentzeventich carolus guldenen en XIII stuvers"".
Stil Brabant
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Peter de Hase (Finanzverwalter Rathausbau Antwerpen), Jan Janssen, Jan Hoppe (Steinhauer), Franso Jacobin (Steinhauer), Wille Willmsen (Steinhauer), Jacomar (Steinhauer), Jan Bastiaen (Steinhauer), Nicolaes vombour (Steinhauer), Michgiel Mido (Steinhauer), Jacop van Menchont (Steinhauer), Herman Hermans (Steinhauer), Thomas (STeinhauer), Philippo (Steinhauer), Jasper, Bertel ",,BE SA ,"PK#2197 (Katern 10, S. 33 – 36)",456r-458v
[J] 1564-07-29 ,Bezahlung von Jan de Hase auch für Anthonis van Seron für Lieferung von Bückeberger Stein,"Jan de Hase erhält für sich und Anthonis von Seron durch Peter de Hase eine Summe von ""een hondert carolus gulde"" für die Lieferung von Bückeberger Stein ausgezahlt. 
Stil Brabant
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Peter de Hase (Finanzverwalter Rathaus von Antwerpen), Jan de Hase (Steinhauer Antwerpen), Anthonis van Seron ((Stein-)Händler im Auftrag von Antwerpen)",,BE SA ,"PK#2197 (Katern 10, S. 37)",459v
[J] 1564-08-05 ,Bezahlung von Jan de Hase auch für Anthonis van Seron für Lieferung von Bückeberger Stein,"Jan de Hase erhält von Peter de Hase eine Summe von ""hondert carolus guldenen"" für die Lieferung von Bückeberger Stein für sich und Anthonis von Seron ausgezahlt. 
Stil Brabant
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Peter de Hase (Finanzverwalter Rathaus von Antwerpen), Jan de Hase (Steinhauer Antwerpen), Anthonis van Seron ((Stein-)Händler im Auftrag von Antwerpen)",,BE SA ,"PK#2197 (Katern 11, S. 4)",464r
[J] 1564-08-12 ,Bezahlung von Jasper de Hase für dessen Reise von Antwerpen nach Schaumburg und zurück,"Jasper de Hase bekommt für seine im Februar 1564 unternommene Reise in die Grafschaft Schaumburg ""tweenveertich carolus guldenen tweelve stuvers en een oort"" ausgezahlt. Seine Reise führte ihn über Antwerpen, [geertruden? = Geertruidenberg], [gorkun? = Gronichem], Vianen, Utrecht, Amersfort, Hattin (= Hattern?), Zwolle, Hardenberg, Neuenhaus, Lingen, Haselünne, [L?], Cloppenburg, Wildeshausen, Delmenhorst, Bremen, Petershagen, Stadthagen, Bückeburg, Obernkrichen, Bremen zurück nach Antwerpen.
Stil Brabant
Verknüpfungswunsch: Antwerpen (ID #669), Geertruidenberg, Gronichem, Vianen, Utrecht (ID # 670), Amersfoort (ID #744), Hattern, Zwolle (ID # 5726), Hardenberg, Neuenhaus, Lingen, Haselünne, Cloppenburg, Wildeshausen, Delmenhorst, Bremen (ID #668), Petershagen, Stadthagen, Bückeburg (ID #747), Obernkirchen (ID #745), Bremen (ID #668); Rathaus Antwerpen","Peter de Hase (Finanzverwalter Rathausbau Antwerpen), Jasper de Hase (= Casper de Hase, Bruder von Peter und Jan de Hase, Gesandter der Stadt Antwerpen)",,BE SA ,"PK#2197 (Katern 11, S. 9)",466v-467r
[J] 1564-08-26 ,Bezahlung von Jan de Hase auch für Anthonis van Seron für Lieferung von Bückeberger Stein,"Jan de Hase bekommt für sich und Anthonis von Seron von Peter de Hase eine Summe von ""Vyftich carolus guldenen"" für die Lieferung von Bückeberger Stein ausgezahlt. 
Stil Brabant
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Peter de Hase (Finanzverwalter Rathaus von Antwerpen), Jan de Hase (Steinhauer Antwerpen), Anthonis van Seron ((Stein-)Händler im Auftrag von Antwerpen)",,BE SA ,"PK#2197 (Katern 11, S. 17)",474v-475r.
[J] 1564-09-09,Bezahlung von Jan de Hase und Anthonis van Seron für Lieferung von Bückeberger Stein,"Jan de Hase erhält für sich und Anthonis von Seron von Peter de Hase die Summe von ""Seventich carolus guldenen"" für die Lieferung von Bückeberger Stein.
Stil Brabant
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Peter de Hase (Finanzverwalter Rathaus von Antwerpen), Jan de Hase (Steinhauer Antwerpen), Anthonis van Seron ((Stein-)Händler im Auftrag von Antwerpen)",,BE SA ,"PK#2197 (Katern 11, S. 18 – 19)",476r-v
[J] 1564-09-23 ,Bezahlung der Steinhauerlöhne an Jan de Hase für die von ihm beschäftigten Steinhauer,"Die Löhne der Steinhauer, welche Pilaster und Piedestale aus Limburger Steinen anfertigen.
Stil Brabant
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Peter de Hase (Finanzverwalter Rathausbau Antwerpen), Jan de Hase (Steinhauer Antwerpen), weitere Steinhauer",,BE SA ,"PK#2197 (Katern 11, S. 23)",480v-481r
undatiert,"Spezifikation von Waren für den Grafen von Schaumburg, den dortigen Kanzler und den Amtmännern als Geschenk für die Möglichmachung der Lieferung von Bückeberger Stein","Auflistung der Kosten der Waren, welche man sowohl als Geschenk an den Grafen von  Schaumburg als auch an den dortigen Kanzler und die Amtmänner von Bückeburg und Schaumburg gesandt hat, um sich für die Hilfe bei der Ablieferung des Bückeberger Steins zu bedanken. Darunter befinden sich unterschiedliche Stoffe, z.T. exklusiv für die Gräfin. Insgesamt wurden waren im Wert von ""Een hondert tweenvyftich caroulus gulden ende twee stuvers"" nach Schaumburg gesandt.
Bezug zur [J] 1563 06 26 Abrechnung Reise Peter de Hase nach Schaumburg und zurück
Verknüpfungswunsch: Antwerpen (ID #669), Schaumburg, Bückeburg (ID #747), Bückeberg; Rathaus Antwerpen","Graf zu Holstein-Schaumburg, Gräfin zu Holstein-Schaumburg, Amtmann zu Bückeburg, Amtmann zu Schaumburg, Kanzler von Holstein-Schaumburg, Peter de Hase (Finanzverwalter Rathausbau Antwerpen)",,BE SA ,"PK#2197 (Katern 11, S. 27-28)",485r-486r
[J] 1564-10-15 ,Bezahlung von Jan de Hase auch für Anthonis van Seron für Lieferung von Bückeberger Stein,"Jan de Hase erhält für sich und Anthonis von Seron von Peter de Hase eine Summe von ""Een hondert carolus guld"" für die Lieferung von Bückeberger Stein.
Stil Brabant
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Peter de Hase (Finanzverwalter Rathaus von Antwerpen), Jan de Hase (Steinhauer Antwerpen), Anthonis van Seron ((Stein-)Händler im Auftrag von Antwerpen)",,BE SA ,"PK#2197 (Katern 11, S. 38)",496r
[J] 1564-12-23 ,Bezahlung von Jan de Hase auch für Anthonis van Seron für Lieferung von Bückeberger Stein,"Jan de Hase bekommt für die Lieferung von Bückeberger Stein durch ihn und Anthonis von Seron eine Summe von ""tweenveertich carolus guldenen"" ausgezahlt.
Stil Brabant
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Peter de Hase (Finanzverwalter Rathaus von Antwerpen), Jan de Hase (Steinhauer Antwerpen), Anthonis van Seron ((Stein-)Händler im Auftrag von Antwerpen)",,BE SA ,"PK#2197 (Katern 12, S. 10)",508v
[J] 1565-01-05 - 1565-02-13 ,Auflistung  der Steinhauerlöhne zwischen [J] 1564-01-05 - 1564-02-13 Brabanter Stil (1565),"Stücklohn und Tagelohn wird gezahlt. Zum Teil Hinweise auf Art der bearbeiteten Sandsteinelemente. Jan de Hase und seine Gesellen werden auch genannt. 
Stil Brabant (Jahreswechsel an Ostern, deshalb im Original: 1564)
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Jan Janssen (Steinhauer? Antwerpen), Peter de Hase (Finanzverwalter Rathausbau Antwerpen), Jan de Hase (Steinhauer Antwerpen), weitere Steinhauer",,BE SA ,"PK#2197 (Katern 12, S. 21 – 22)",520r-v
[J] 1565-03-03 ,Bezahlung Jan de Hase für von ihm gelieferte gebrannte Platten? ,"Jan de Hase als Dachplattenlieferant?
Stil Brabant (Jahreswechsel an Ostern, deshalb im Original: 1564)
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Peter de Hase (Finanzverwalter Rathausbau Antwerpen), Jan de Hase (Steinhauer Antwerpen?)",,BE SA ,"PK#2197 (Katern 12, S. 22 – 23)",521r-v
[J] 1564-03-31 ,Bezahlung von Jan de Hase auch für Anthonis van Seron für Lieferung von Bückeberger Stein,"Jan de Hase erhält für sich und Anthonis von Seron eine Summe von ""twee hondert carolus gulden"" für die Lieferung von Bückeberger Stein.
Stil Brabant (Jahreswechsel an Ostern, deshalb im Original: 1564)
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Peter de Hase (Finanzverwalter Rathaus von Antwerpen), Jan de hase (Steinhauer Antwerpen), Anthonis van Seron ((Stein-)Händler im Auftrag von Antwerpen)",,BE SA ,"PK#2197 (Katern 12, S. 34)",532r
[J] 1565-10-24 ,"Bitte um Bezahlung von Jan de Hase für Versorgung eines bei ihm angestellten Steinhauers, der auf der Baustelle verletzt wurde","Jan de Hase bittet die für den Rathausbau abgeordneten Mitglieder des Antwerpener Rates um finanzielle Unterstützung bei der Versorgung eines Steinhauers. Dieser sei auf der Baustelle durch die Unachtsamkeit eines Maurers verletzt worden, indem ein Stein auf sein Bein gefallen sei. Die geforderte Summe von 6 [?] wird ausgezahlt. 
Stil Brabant
Verknüpfungswunsch: Antwerpen (ID #669); Rathaus Antwerpen","Peter de Hase (Finanzverwalter Rathausbau Antwerpen), Jan de Hase (Steinhauer Antwerpen), Rathausbau-Kommitte des Antwerpener Rats",,BE SA ,"PK#2197 (Katern 13, S. 25)",571v
